Timestamp, X_Position, Y_Position, Z_Position, Q0_Rotation, Q1_Rotation, Q2_Rotation, Q3_Rotation, X_Velocity, Y_Velocity, Z_Velocity, X_Accel, Y_Accel, Z_Accel
22205,0.043133,1.160644,-0.07258616,-0.001712532,0.004609562,0.01155157,0.9999212,0,0,0,0,0,0
22233,0.04321792,1.160685,-0.07234012,-0.002337234,0.0048024,0.01181168,0.999916,0,0,0,0,0,0
22261,0.04320115,1.160751,-0.07203217,-0.003112944,0.004554214,0.01245617,0.9999072,0,0,0,0,0,0
22288,0.04324125,1.160662,-0.07178915,-0.002675427,0.004144162,0.01196087,0.9999163,0,0,0,0,0,0
22317,0.04332767,1.160564,-0.0715149,-0.001750469,0.004190124,0.01168476,0.9999214,0,0,0,0,0,0
22345,0.04353894,1.160497,-0.07115326,-0.0009827231,0.004638869,0.01239132,0.999912,0,0,0,0,0,0
22373,0.04365027,1.160504,-0.07073243,-0.001221909,0.004658854,0.01179646,0.9999188,0,0,0,0,0,0
22401,0.04373801,1.160506,-0.070372,-0.001399104,0.004072778,0.01134202,0.9999264,0,0,0,0,0,0
22429,0.0437156,1.16037,-0.07007597,-0.0003223543,0.002577708,0.01008323,0.9999458,0,0,0,0,0,0
22457,0.04367422,1.160234,-0.06977716,0.0001253782,0.002426499,0.009507461,0.9999519,0,0,0,0,0,0
22484,0.04364651,1.160164,-0.06953815,0.0006600976,0.00299181,0.01006168,0.9999447,0,0,0,0,0,0
22510,0.04352569,1.160271,-0.06913616,8.534949E-05,0.003299572,0.01080038,0.9999362,0,0,0,0,0,0
22535,0.04323982,1.160441,-0.06870604,-0.0007354628,0.003121441,0.01136662,0.9999303,0,0,0,0,0,0
22563,0.04275107,1.160361,-0.06837887,8.38278E-05,0.001906959,0.01032116,0.9999449,0,0,0,0,0,0
22592,0.04226187,1.160163,-0.06818303,0.001271621,0.0008559866,0.0113764,0.9999341,0,0,0,0,0,0
22622,0.04179098,1.16,-0.06806368,0.00194527,0.0002172172,0.01158222,0.999931,0,0,0,0,0,0
