Timestamp, X_Position, Y_Position, Z_Position, Q0_Rotation, Q1_Rotation, Q2_Rotation, Q3_Rotation, X_Velocity, Y_Velocity, Z_Velocity, X_Accel, Y_Accel, Z_Accel, Trigger, Grip
34500,0.03950649,1.098922,0.5627624,-0.4117405,-0.01191087,-0.02525957,0.9108731,-0.01148484,-0.009407086,0.004884006,0,0,0,False,True
34527,0.03920485,1.098689,0.5630853,-0.4114391,-0.01239788,-0.0246919,0.9110184,-0.01583715,-0.00988555,0.01014614,0,0,0,False,True
34554,0.03870167,1.098452,0.5635058,-0.4106778,-0.01319133,-0.02244739,0.9114087,-0.01682961,-0.00721756,0.008305985,0,0,0,False,True
34579,0.03868735,1.098411,0.5636011,-0.4110396,-0.01300985,-0.02187688,0.9112621,-0.007520554,-0.003813518,0.001695,0,0,0,False,True
34607,0.03880056,1.098283,0.5637192,-0.4117659,-0.01360005,-0.02313614,0.9108944,0.003953076,-0.003017876,8.771312E-06,0,0,0,False,True
34637,0.03910392,1.098221,0.5637622,-0.412909,-0.01298866,-0.0244641,0.9103511,0.01042521,0.0007495917,-0.004531331,0,0,0,False,True
34665,0.0391422,1.098359,0.5637487,-0.4133483,-0.01317423,-0.02400144,0.9101613,0.002761676,0.006449462,-0.005856935,0,0,0,False,True
34693,0.03933639,1.098673,0.5634912,-0.4147395,-0.01247075,-0.02297592,0.9095646,0.007359517,0.01152487,-0.01130705,0,0,0,False,True
34716,0.03964918,1.098906,0.5633637,-0.415359,-0.01254498,-0.02331233,0.9092723,0.0129587,0.01151577,-0.01116167,0,0,0,False,True
34742,0.03997482,1.099136,0.5632194,-0.415976,-0.01251336,-0.02367941,0.9089811,0.01493859,0.01135274,-0.01121977,0,0,0,False,True
34771,0.04014415,1.099275,0.5631929,-0.4158501,-0.01259923,-0.02370714,0.9090368,0.01165432,0.008492844,-0.005988216,0,0,0,False,True
34801,0.04075963,1.099578,0.5626761,-0.4167829,-0.01087505,-0.0219241,0.9086766,0.0155132,0.006412594,-0.01332514,0,0,0,False,True
34829,0.04140164,1.099486,0.5623852,-0.4173315,-0.009446294,-0.02320701,0.9084088,0.02474715,4.242291E-06,-0.01226422,0,0,0,False,True
34853,0.04198893,1.099174,0.5621285,-0.418159,-0.00857559,-0.02588776,0.9079644,0.02472023,-0.005612919,-0.01104617,0,0,0,False,True
34882,0.04179486,1.098976,0.5623025,-0.4174679,-0.008919341,-0.02533273,0.9082947,0.008503819,-0.01311335,0.001637067,0,0,0,False,True
34910,0.04146731,1.09859,0.5624583,-0.4169923,-0.009104656,-0.02396214,0.9085485,-0.01135504,-0.01234433,0.003366226,0,0,0,False,True
34939,0.04118079,1.098338,0.5625806,-0.4172845,-0.009643909,-0.02416381,0.9084034,-0.01436808,-0.01245928,0.002888876,0,0,0,False,True
34968,0.04079393,1.097678,0.5629864,-0.4167382,-0.009499363,-0.0250074,0.9086329,-0.009177214,-0.01973364,0.01046077,0,0,0,False,True
34997,0.04040238,1.097011,0.5633488,-0.4157186,-0.00893553,-0.02534188,0.9090963,-0.01152174,-0.02292308,0.01346199,0,0,0,False,True
35024,0.03988741,1.096596,0.5635851,-0.4151149,-0.009913711,-0.02553985,0.9093564,-0.02120903,-0.01940005,0.01058531,0,0,0,False,True
35053,0.03906694,1.096173,0.5636802,-0.4149257,-0.01113475,-0.02453698,0.9094562,-0.0271907,-0.01506254,0.005516427,0,0,0,False,True
35080,0.03883849,1.095778,0.5636771,-0.4148961,-0.01046144,-0.02563678,0.9094474,-0.008855626,-0.01559376,-0.0003702758,0,0,0,False,True
35108,0.03857657,1.09521,0.5634947,-0.4154667,-0.009928353,-0.0282176,0.9091164,-0.005052285,-0.01377811,-0.00761341,0,0,0,False,True
35137,0.03824781,1.095009,0.5634732,-0.4149916,-0.009856624,-0.02831702,0.9093311,-0.01101955,-0.01404583,-0.00286361,0,0,0,False,True
35165,0.03781221,1.09475,0.5634814,-0.4148344,-0.009896141,-0.02827238,0.9094037,-0.01927939,-0.01368447,-0.001381021,0,0,0,False,True
35194,0.03693613,1.094286,0.5635077,-0.4142701,-0.011063,-0.02868933,0.9096345,-0.02549347,-0.01352677,0.0009771663,0,0,0,False,True
35222,0.03635204,1.094004,0.563467,-0.4144412,-0.01226556,-0.02916228,0.9095261,-0.02484947,-0.01043577,-0.002538963,0,0,0,False,True
35250,0.03583286,1.09381,0.5634823,-0.4138697,-0.01328309,-0.02904968,0.9097756,-0.02404321,-0.009119171,-0.00153714,0,0,0,False,True
35278,0.03528877,1.093517,0.5632919,-0.4129771,-0.01467176,-0.02847272,0.9101779,-0.02180498,-0.01106751,-0.005105477,0,0,0,False,True
35306,0.03505538,1.093083,0.5628253,-0.4127338,-0.01570016,-0.02787263,0.9102898,-0.01556557,-0.01504844,-0.01522383,0,0,0,False,True
35335,0.03512935,1.092629,0.5621107,-0.4122594,-0.0163191,-0.02723923,0.910513,-0.004783844,-0.01705284,-0.02416658,0,0,0,False,True
35362,0.03549903,1.092071,0.5612956,-0.4119259,-0.01687414,-0.02760901,0.9106427,0.008857526,-0.02193321,-0.02991628,0,0,0,False,True
35390,0.03589344,1.091463,0.5604517,-0.4120613,-0.01661552,-0.02765379,0.9105848,0.01580682,-0.02598381,-0.03875891,0,0,0,False,True
35418,0.0364833,1.090486,0.5590614,-0.411661,-0.01605999,-0.02710192,0.9107924,0.01763532,-0.02918663,-0.04135108,0,0,0,False,True
35446,0.03711005,1.089636,0.5577679,-0.4109775,-0.01517508,-0.02745052,0.9111058,0.02228761,-0.02951311,-0.04180372,0,0,0,False,True
35472,0.03771577,1.089072,0.5562502,-0.4115888,-0.01457676,-0.0290111,0.9107912,0.02287357,-0.02001089,-0.0486249,0,0,0,False,True
35499,0.03783063,1.089002,0.5552673,-0.4116819,-0.01364971,-0.02850055,0.9107796,0.01280166,-0.009187544,-0.04541341,0,0,0,False,True
